Av1,Is_mA,IRB_mA,Ic_2E_mA,RE_1E,RC_1E,RBuffer,RVBE_BUFFER,RE_2E,RC_2E,Av2,Av_total
6,0.5,1.0,9.000000000000002,4033.263510954335,60000.0,14470.0,4000.0,1548.8888888888887,27063.057933550303,16.78,100.66162863905733
8,0.5,1.0,9.000000000000002,2783.263510954335,60000.0,14470.0,4000.0,1548.8888888888887,20316.568292542084,12.58,100.670742867578
10,0.5,1.0,9.000000000000002,2033.263510954335,60000.0,14470.0,4000.0,1548.8888888888887,16283.896079755272,10.07,100.67527677199855
12,0.5,1.0,9.000000000000002,1533.263510954335,60000.0,14470.0,4000.0,1548.8888888888887,13601.836554314623,8.39,100.67856976436194
6,0.5,1.0,9.500000000000002,4033.263510954335,60000.0,14470.0,4000.0,1467.3684210526312,25641.11965040509,16.78,100.66129502820564
8,0.5,1.0,9.500000000000002,2783.263510954335,60000.0,14470.0,4000.0,1467.3684210526312,19248.774891428522,12.58,100.67050245561566
10,0.5,1.0,9.500000000000002,2033.263510954335,60000.0,14470.0,4000.0,1467.3684210526312,15427.933579258675,10.07,100.67517690916759
12,0.5,1.0,9.500000000000002,1533.263510954335,60000.0,14470.0,4000.0,1467.3684210526312,12886.768720440285,8.39,100.67842881200914
6,0.5,1.0,10.0,4033.263510954335,60000.0,14470.0,4000.0,1394.0,24361.430213748125,16.78,100.66112038360092
8,0.5,1.0,10.0,2783.263510954335,60000.0,14470.0,4000.0,1394.0,18287.789397338795,12.58,100.67036503094697
10,0.5,1.0,10.0,2033.263510954335,60000.0,14470.0,4000.0,1394.0,14657.552733105216,10.07,100.67507691692217
12,0.5,1.0,10.0,1533.263510954335,60000.0,14470.0,4000.0,1394.0,12243.175536567414,8.39,100.67806740167873
